Fact,ProvenanceLeft,ProvenanceRight,Rule
partOfTransitive(1000|1),partOfTransitive(1000|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1000|17),partOfTransitive(1000|188),partOf(188|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1000|188),partOf(1000|188),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1000|2),partOfTransitive(1000|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1000|gpcr),partOfTransitive(1000|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1000|other_protein),partOf(1000|other_protein),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1000|transporter),partOfTransitive(1000|188),partOf(188|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1001|1),partOfTransitive(1001|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1001|17),partOfTransitive(1001|188),partOf(188|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1001|188),partOf(1001|188),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1001|2),partOfTransitive(1001|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1001|gpcr),partOfTransitive(1001|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1001|other_protein),partOf(1001|other_protein),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1001|transporter),partOfTransitive(1001|188),partOf(188|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1002|1),partOfTransitive(1002|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1002|17),partOfTransitive(1002|189),partOf(189|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1002|189),partOf(1002|189),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1002|2),partOfTransitive(1002|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1002|gpcr),partOfTransitive(1002|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1002|transporter),partOfTransitive(1002|189),partOf(189|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1003|1),partOfTransitive(1003|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1003|17),partOfTransitive(1003|189),partOf(189|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1003|189),partOf(1003|189),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1003|2),partOfTransitive(1003|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1003|enzyme),partOf(1003|enzyme),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1003|gpcr),partOfTransitive(1003|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1003|transporter),partOfTransitive(1003|189),partOf(189|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1004|1),partOfTransitive(1004|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1004|17),partOfTransitive(1004|189),partOf(189|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1004|189),partOf(1004|189),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1004|2),partOfTransitive(1004|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1004|enzyme),partOf(1004|enzyme),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1004|gpcr),partOfTransitive(1004|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1004|transporter),partOfTransitive(1004|189),partOf(189|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1005|1),partOfTransitive(1005|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1005|17),partOfTransitive(1005|189),partOf(189|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1005|189),partOf(1005|189),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1005|2),partOfTransitive(1005|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1005|gpcr),partOfTransitive(1005|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1005|transporter),partOf(1005|transporter),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1006|1),partOfTransitive(1006|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1006|17),partOfTransitive(1006|190),partOf(190|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1006|190),partOf(1006|190),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1006|2),partOfTransitive(1006|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1006|gpcr),partOfTransitive(1006|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1006|transporter),partOf(1006|transporter),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1007|1),partOfTransitive(1007|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1007|17),partOfTransitive(1007|191),partOf(191|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1007|191),partOf(1007|191),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1007|2),partOfTransitive(1007|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1007|gpcr),partOfTransitive(1007|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1007|transporter),partOf(1007|transporter),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1008|1),partOfTransitive(1008|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1008|17),partOfTransitive(1008|191),partOf(191|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1008|191),partOf(1008|191),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1008|2),partOfTransitive(1008|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1008|gpcr),partOfTransitive(1008|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1008|transporter),partOf(1008|transporter),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1009|1),partOfTransitive(1009|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1009|17),partOfTransitive(1009|191),partOf(191|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1009|191),partOf(1009|191),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1009|2),partOfTransitive(1009|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1009|gpcr),partOfTransitive(1009|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1009|transporter),partOf(1009|transporter),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(100|1),partOfTransitive(100|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(100|1112),partOf(100|1112),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(100|20),partOfTransitive(100|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(100|214),partOfTransitive(100|1112),partOf(1112|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(100|3),partOfTransitive(100|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(100|gpcr),partOfTransitive(100|1112),partOf(1112|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(100|nhr),partOf(100|nhr),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(100|transporter),partOfTransitive(100|214),partOf(214|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
