id,isAttachedTo
abdca,cb0a0
b6cb0,a1b82
f2829,fe097
fbac5,id9f130f49
db9af,id76fd2d3d
f024f,f3a66
b6707,d4c61
b572b,fbb24
f2829,e5c3a
f3a66,ba400
ce91d,e5801
e5ed4,fcb11
ba400,fe097
fbb24,fe097
bb620,a35e2
f3a66,fe097
fbac5,id3ce16c65
e5c3a,fe097
f1f07,d75a6
efed0,id7e514711
d57de,id2a64001c
d4ecc,idf7ba2d00
e7796,fe097
bdaf6,id6c5646af
db9af,c64cf
f61fe,ide4e50ef4
b0754,idf478372c
d75a6,e7796
a0f65,id69a11954
aa2dc,idd3f3507c
aa2dc,id4f45c808
c798c,ce91d
f980f,a1b82
bdaf6,id65d57b6c
e6ee0,id3ce16c65
e5ed4,c944f
b8f6e,f024f
b6cb0,c798c
ba05f,iddb51756e
f61fe,idd78e11ba
aa516,ac07c
fbf29,id637bafd1
b6cb0,f980f
efed0,id899b1e3c
ed90c,f650a
b6707,id4f0e47d2
f980f,b6cb0
e6ee0,id9f130f49
dc963,f61fe
e8129,b0754
d1a53,a1493
e50af,id76eef3b9
aa516,a9453
d9040,aa516
e5801,f2829
dce1e,aa2dc
abdca,ce0c7
aa2bd,ide5c0d2f2
bb620,f1f07
b9c00,iddb51756e
f650a,b572b
d06d7,idad8045a6
c642f,b5b07
d9a28,c7413
f0f50,d883b
f980f,cda05
d883b,idbc65fc0e
b5b07,ff573
adcb9,id6c5646af
c1289,idb880c49
c58ea,idacecac07
c7413,ed90c
a0f65,idb880c49
a87fe,idad8045a6
b6cb0,d9040
bb620,d9a28
ff573,f980f
ff573,bb620
fa3bb,id72757710
bb620,b6cb0
cda05,d9040
a1493,idf478372c
d8960,cd588
b8f6e,ce91d
ce91d,b8f6e
e8129,id6ff5899a
