HormoneId,SecretedBy,Sname,Type,HormoneName,MalePercentage,FemalePercentage,FolliculaPhase,LutealPhase
7fa16bfd-eb60-4e59-884c-a8fb91a24e29,134b51b1-f10f-4ac4-90fa-282df82f09d9,Zona fasciculata,Cell,11-deoxycorticosterone,100,100,0,0
ae70a10a-33db-4acd-99c9-0fb2535899bc,134b51b1-f10f-4ac4-90fa-282df82f09d9,Zona fasciculata,Cell,17-hydroxyprogesterone,30,92,0,0
ae70a10a-33db-4acd-99c9-0fb2535899bc,4f9fa0b5-c118-4147-93bb-01a69c7c3692,Ovary,Organ,17-hydroxyprogesterone,0,8,0,0
ae70a10a-33db-4acd-99c9-0fb2535899bc,00c46f6a-5598-4a46-ac1c-41686d21d1ff,Testes,Organ,17-hydroxyprogesterone,70,0,0,0
ae70a10a-33db-4acd-99c9-0fb2535899bc,229edda3-f2b6-4ef2-bdfe-d13af46231be,Placenta,Organ,17-hydroxyprogesterone,0,0,0,0
b04d90ba-5750-4666-a8ca-e02bbc4e2ec5,eb463eac-e2b2-4c45-857a-98f1a0d8420e,Zona glomerulosa,Cell,18-hydroxycorticosterone,100,100,0,0
0e5ee681-f1f8-432b-9b7f-3c8a9bf37ccc,134b51b1-f10f-4ac4-90fa-282df82f09d9,Zona fasciculata,Cell,18-hydroxycortisol,50,50,0,0
0e5ee681-f1f8-432b-9b7f-3c8a9bf37ccc,eb463eac-e2b2-4c45-857a-98f1a0d8420e,Zona glomerulosa,Cell,18-hydroxycortisol,50,50,0,0
331f9407-881d-4235-b880-48edf6c4d1a3,eb463eac-e2b2-4c45-857a-98f1a0d8420e,Zona glomerulosa,Cell,18-oxocortisol,10,100,0,0
36d1cef6-29bd-4c6a-be31-b1dc5718eca6,134b51b1-f10f-4ac4-90fa-282df82f09d9,Zona fasciculata,Cell,21-deoxycortisol,100,100,0,0
986c2526-bd34-4c47-bde0-1ce1b9e3dd2a,eb463eac-e2b2-4c45-857a-98f1a0d8420e,Zona glomerulosa,Cell,Aldosterone,100,100,0,0
f508a009-13ec-49ec-bc16-adae2859ff6c,d864f399-3b9e-4961-b61c-ab071c245651,Zona reticularis,Cell,Androstenedione,5,50,0,0
f508a009-13ec-49ec-bc16-adae2859ff6c,73a070a0-98b2-42a1-9b6b-9f7689196c32,Theca cells,Cell,Androstenedione,0,50,0,0
f508a009-13ec-49ec-bc16-adae2859ff6c,ed6b9d5f-f83e-49d1-ba7e-c4f832d8a878,Leydig cells,Cell,Androstenedione,95,0,0,0
e24296df-5350-4657-b3de-7182a580c9e4,eb463eac-e2b2-4c45-857a-98f1a0d8420e,Zona glomerulosa,Cell,Corticosterone,100,100,0,0
7fca6ef2-8836-409b-a958-5287134aee49,134b51b1-f10f-4ac4-90fa-282df82f09d9,Zona fasciculata,Cell,Cortisol,100,100,0,0
