HormoneId,HormoneGroupId,Abbrev,Hormone,_0_4,_0_5,_0_6,_0_7
LMST02030205,\N,\N,Pregnenediol b,\N,\N,\N,\N
LMST02030204,\N,\N,5beta-dihydrocortisol,\N,\N,\N,\N
44263346,\N,\N,"3a,11b,21-Trihydroxy-20-Oxo-5b-Pregnan-18-al",\N,\N,\N,\N
LMST02030227,\N,\N,alpha-cortolone,\N,\N,\N,\N
LMST01010001,\N,\N,Cholesterol,\N,\N,\N,\N
LMST02030283,\N,\N,Tetrahydrodeoxycorticosterone,\N,\N,\N,\N
516-42-7,\N,\N,Cortolone,\N,\N,\N,\N
ENSG00000176387,\N,\N,11beta-HSD2,\N,\N,\N,\N
LMST02030170,\N,\N,"5alpha-pregnane-3,20-dione",\N,\N,\N,\N
LMST02030100,\N,\N,Tetrahydrocorticosterone,\N,\N,\N,\N
LMST02030301,\N,\N,beta-cortolonic acid,\N,\N,\N,\N
LMST02030299,\N,\N,Isoprogesterone,\N,\N,\N,\N
LMST02030281,\N,\N,5alpha-Dihydrocorticosterone,\N,\N,\N,\N
1482-50-4,\N,\N,"11b,17a 21-Trihydroxy-5bPregnane 3,20-dione",\N,\N,\N,\N
24779614,\N,\N,3a-OH-5b-Pregnane-20-one,\N,\N,\N,\N
LMST02030277,\N,\N,"11β,18,21-trihydroxy-5β-pregnan-3,20-dione",\N,\N,\N,\N
LMST02030282,\N,\N,5beta-dihydrodeoxycorticosterone,\N,\N,\N,\N
LMST02030200,\N,\N,5alpha-Tetrahydrocortisol,\N,\N,\N,\N
LMST02030285,\N,\N,"5beta-pregnan-21-ol-3,11,20-trione",\N,\N,\N,\N
CHEBI:16469,\N,\N,Oestradiol,\N,\N,\N,\N
LMST01010086,\N,\N,22R-Hydroxycholesterol,\N,\N,\N,\N
LMST02030280,\N,\N,5beta-Dihydrocorticosterone,\N,\N,\N,\N
LMST01010200,\N,\N,"20R,22R-dihydroxycholesterol",\N,\N,\N,\N
