HormoneIdFrom,HormoneIdTo
a21ef33b-5df9-4525-89ed-41347cc3875b,LMST02030282
LMST02030285,LMST02030230
LMST02030285,LMST02030293
LMST02030285,LMST02030271
LMST02030285,44263338
LMST02030285,LMST02030088
LMST02030285,384cc520-c91d-4d9f-a82f-0194131d80f4
LMST02030285,f5b14ac8-65e6-4576-ab56-baa9c739ef65
LMST02030285,LMST02030300
LMST02030285,LMST02030289
LMST02030285,LMST02030299
LMST02030285,331f9407-881d-4235-b880-48edf6c4d1a3
e24296df-5350-4657-b3de-7182a580c9e4,LMST02030281
LMST02030280,LMST02030100
LMST02030285,LMST02030301
LMST02030285,LMST02030268
LMST02030285,LMST02030270
LMST02030285,LMST02030297
LMST02030285,24779614
LMST02030285,LMST02030130
LMST02030285,77bd117a-5d7c-4851-b3a3-ba35b93d3741
LMST02030285,fb4e4e82-7eeb-482f-a9a2-5f1ea4421f78
LMST02030285,2dcfa2bd-5e70-442d-9ccc-761710bd435b
LMST02030285,LMST02030303
LMST02030285,ENSG00000176387
LMST02030285,LMST02030170
LMST02030285,d3d47191-a2c9-49da-b3f5-85909530b1c6
LMST02030285,LMST01010086
LMST02030285,ae70a10a-33db-4acd-99c9-0fb2535899bc
e24296df-5350-4657-b3de-7182a580c9e4,LMST02030284
LMST02030285,LMST02030267
LMST02030285,LMST02030292
LMST02030285,LMST02030265
LMST02030285,1.1.1.53
LMST02030285,LMST02030288
LMST02030281,LMST02030142
LMST02030285,d429c59f-0792-4970-be40-82932963b049
LMST02030285,CHEBI:58349
LMST02030285,a6a7ba09-718b-4cc2-8409-459175a42c86
LMST02030285,bb4067dc-9d17-44ad-b30d-9d4055ea4c30
LMST02030285,5108b288-a0bc-4e12-bc22-870a8ef9789d
986c2526-bd34-4c47-bde0-1ce1b9e3dd2a,LMST05010062
LMST02030285,LMST02030294
LMST02030285,LMST02030298
LMST02030285,LMST05010073
LMST02030285,405ddd20-11d4-4fac-9fa5-5dc6a57a1a11
b04d90ba-5750-4666-a8ca-e02bbc4e2ec5,LMST02030277
986c2526-bd34-4c47-bde0-1ce1b9e3dd2a,LMST02030276
LMST02030285,LMST02020086
LMST02030285,LMST02020123
LMST02030285,44263346
LMST02030285,ENSG00000130948
LMST02030285,LMST02030263
LMST02030285,LMST02030205
LMST02030285,LMST02030089
LMST02030285,f215e8fd-ceb8-4ba9-a570-0576757d3af8
LMST02030285,c8e5ad8f-fc1c-4758-a165-21814e2e812f
LMST02030276,ccfd930e-e90d-494a-b859-a69a86c61389
LMST02030285,LMST02030204
LMST02030285,5754
LMST02030285,LMST01010001
LMST02030278,LMST02030279
e24296df-5350-4657-b3de-7182a580c9e4,b04d90ba-5750-4666-a8ca-e02bbc4e2ec5
LMST02030277,LMST02030278
LMST02030285,LMST02030274
LMST02030285,LMST02030291
LMST02030285,CHEBI:16469
LMST02030285,80b1f594-f7ea-4752-ad52-3e4189977928
LMST02030285,7fca6ef2-8836-409b-a958-5287134aee49
LMST02030284,e24296df-5350-4657-b3de-7182a580c9e4
e24296df-5350-4657-b3de-7182a580c9e4,LMST02030280
LMST02030285,LMST02030266
LMST02030285,CHEBI:57783
LMST02030285,CHEBI:26763
LMST02030285,ENSG00000117594
LMST02030285,LMST02030264
LMST02030285,LMST01010200
LMST02030285,1c1b1c3a-f807-41ad-a05b-1fea941c7701
LMST02030285,c790b671-ed16-4ef7-9dde-7044d1dde862
LMST02030285,7249ff28-22e3-4ad9-941d-872533f4b0e6
