id,isAttachedTo
f30c0,c4f5f
e8ee9,idf021dc42
c4f5f,c80af
a1a1c,id5f1eaf3
b918b,f0520
e2f57,ba604
db46e,id298b3f6a
ba604,a949e
fb595,idd5e2330e
b8cfe,ide4194c51
c4f5f,e2f57
f9014,id4325c651
ba604,bb53d
a1c0f,id1626548a
e908d,idaabdb4ae
daceb,ide4351e53
a3b50,idebbf67ae
af7f9,aae50
d1be2,id50e15341
a1a1c,id86e0aebe
c72a8,id2408224f
e13bc,idb414fa45
ecd12,b7d0f
d9ab0,c6dae
b7609,id8b6a8dea
c80af,ceed9
cd250,ide0f1c485
c3c81,c8d09
d9ab0,e2f57
bb53d,e8d2c
a949e,b63ad
c6dae,e790d
e8a0b,idbe8391aa
e2f57,af7f9
e8d2c,b1923
f3972,f30c0
e2f57,d9ab0
c72a8,idc70df1e9
bb53d,e1e85
e2f57,ecd12
b918b,
c291c,id25ca1f5a
b63ad,d7423
e4e64,idd50991b7
fb595,idc10085cb
