CellId,TissueId,Name
d864f399-3b9e-4961-b61c-ab071c245651,30355882-489f-47ad-9f8c-90a50483c02b,Zona reticularis
0e379c9d-fdd6-4cae-a69a-c339beb70669,d21e3c63-5d7a-4e27-8694-e0dd1ad561a9,Proximal tubule
eb463eac-e2b2-4c45-857a-98f1a0d8420e,30355882-489f-47ad-9f8c-90a50483c02b,Zona glomerulosa
ed6b9d5f-f83e-49d1-ba7e-c4f832d8a878,00c46f6a-5598-4a46-ac1c-41686d21d1ff,Leydig cells
134b51b1-f10f-4ac4-90fa-282df82f09d9,30355882-489f-47ad-9f8c-90a50483c02b,Zona fasciculata
73a070a0-98b2-42a1-9b6b-9f7689196c32,4f9fa0b5-c118-4147-93bb-01a69c7c3692,Theca cells
d556bfa9-506d-4dae-b1cb-29480a63af71,9566f4f3-ced2-4aac-ba70-fd38e35faa28,Parvocellular neurosecretory neurons
99cf6b47-8c2d-4081-9a16-1124518c86a4,06629bd4-54b9-47ba-8818-71f4aa003192,White blood cells
8545772f-ef44-4b04-a8f4-fb99370e0ea3,229edda3-f2b6-4ef2-bdfe-d13af46231be,Syncytiotrophoblast
31ac0451-ae33-476f-a1ea-3688aa1eed0e,6c8b6e07-ff2b-4630-8fd7-56ffa7643e82,Adipocytes
56beb6ac-1581-4ef8-add0-a2e258f236c9,4f011433-f99f-46dc-92c3-03118cfdcd09,Granulosa cells
227f0bb9-98e1-4090-b9e4-7bda396eb872,00c46f6a-5598-4a46-ac1c-41686d21d1ff,Sertoli cell
e764d396-0bd3-4d2c-831d-f9822f5edffd,5c9a1289-88e8-491d-be4a-7a304307613c,Thyrotropes
0da1cb18-375a-4f9f-9364-042a82f560ff,dfcf7844-d9d2-4c07-b5a6-fc20332cc0ae,S cell
54744cc6-de5d-4559-8821-3a2650dc9ca3,766e1afc-231e-49f0-b5ad-85832af040f9,Thyroid follicular cell
