MasterID,Mesor_hat,AmplitudeHat,AcrophaseHat,Peak,Nadir,PeakTime,NadirTime,Phase,Morning,Afternoon,Evening,Night,MorningPeak,AfternoonPeak,EveningPeak,NightPeak,BimodalAfternoon,BimodalEvening
71,5.002004660522835,-3.2458579218868047,6.922634027062369,12.076,0.4,7.333333333333333,3.6666666666666665,20.333333333333336,4.543,6.3875,4.543,4.543,12.076,9.321,12.076,12.076,True,False
73,5.1594273750479145,-3.1227496132039185,6.922634027062369,19.236,0.163,7.666666666666667,10.666666666666666,2.999999999999999,7.172,4.178,7.172,7.172,19.236,4.596,19.236,19.236,True,True
75,3.3209974411108503,-2.2469903568086327,6.922634027062369,11.878,0.417,7.666666666666667,2.0,18.333333333333332,4.701,2.822,4.701,4.701,11.878,3.32,11.878,11.878,True,True
115,1.944525410821046,-1.1557383859177706,6.922634027062369,5.049,0.276,6.0,22.333333333333332,16.333333333333332,3.311,1.276,3.311,3.311,5.049,1.519,5.049,5.049,True,True
125,0.9665846170233177,-1.56513538420266,6.922634027062369,7.581,0.265,9.0,5.0,20.0,3.779,2.54,3.779,3.779,7.581,3.655,7.581,7.581,True,True
127,6.031719612172265,-3.403474760804508,6.922634027062369,17.436,1.033,7.333333333333333,3.3333333333333335,20.0,8.401,4.211,8.401,8.401,17.436,11.921,17.436,17.436,True,True
129,3.378320386416786,-2.981292241163509,6.922634027062369,9.427,0.502,8.333333333333334,2.6666666666666665,18.333333333333336,6.293,3.916,6.293,6.293,9.427,5.728,9.427,9.427,True,True
135,4.4729165827966035,-2.9787998445337323,6.922634027062369,8.416,0.895,8.333333333333334,3.0,18.666666666666664,7.257,5.127,7.257,7.257,8.416,6.404,8.416,8.416,True,True
137,4.169538992283357,-1.7794692371434568,6.922634027062369,12.15,0.56,6.0,1.3333333333333333,19.333333333333332,5.81,2.44,5.81,5.81,12.15,3.84,12.15,12.15,True,True
139,2.749023044300191,-2.0270024340294164,6.922634027062369,8.417,0.351,9.666666666666666,3.0,17.333333333333336,4.339,3.931,4.339,4.339,8.417,4.68,8.417,8.417,True,True
141,4.155282825096565,-2.4429931350781535,6.922634027062369,12.17,0.259,8.0,2.3333333333333335,18.333333333333332,6.587,2.755,6.587,6.587,12.17,4.076,12.17,12.17,True,True
143,1.2434215614664041,-0.8230943795839822,6.922634027062369,3.38,0.13,7.0,0.6666666666666666,17.666666666666668,1.7,1.17,1.7,1.7,3.38,1.61,3.38,3.38,True,True
145,5.611315557650896,-2.937646806259863,6.922634027062369,14.329,0.655,7.0,2.3333333333333335,19.333333333333332,10.184,4.376,10.184,10.184,14.329,6.418,14.329,14.329,True,True
