id,textContent,xrefIdentifier
ab7f9,Isoprogesterone,LMST02030299
b872c,Cholesterol,LMST01010001
ba0ac,Progesterone,LMST02030159
d23e6,3alpha-hydroxy-5beta-pregnan-20-one,LMST02030175
d6a61,"5beta-pregnane-3,20-dione",LMST02030146
d7455,Pregnanediol,LMST02030264
dbb10,Pregnanediol-3-glucuronide,LMST05010073
e43d7,Pregnenetriol,LMST02030263
ec77a,11-deoxycorticosterone,LMST02030087
eea0d,20alpha-Hydroxyprogesterone,LMST02030169
efcee,"20R,22R-dihydroxycholesterol",LMST01010200
f2eec,22R-Hydroxycholesterol,LMST01010086
f4277,17alpha-hydroxyprogesterone,LMST02030161
f5961,11-deoxycortisol,LMST02030086
f5ff5,17alpha-hydroxypregnenolone,LMST02030089
fa278,Pregnenolone,LMST02030088
fbb9b,"5alpha-pregnane-3,20-dione",LMST02030170
fc6b7,Pregnenediol,LMST02030205
fe015,Allopregnanolone,LMST02030130
