id,isAttachedTo
a074e,c7978
a074e,fde6c
a5fdb,ba0ac
a5fdb,eea0d
a6b74,c6124
a6b74,f478b
aaa27,f26a2
aaa27,e9ae8
af5d8,ab7f9
af5d8,ba0ac
afc55,e6e69
afc55,e6dc5
b5887,d7455
b5887,dbb10
b5fe1,e8890
b5fe1,f5324
b70b7,c6124
b70b7,c169c
bcb79,ce42b
bcb79,d265c
bcf8e,f5ff5
bcf8e,f4277
bd6a0,f5961
bd6a0,a452a
bdbda,d658f
bdbda,f1673
c169c,f4277
c169c,f5961
c3a37,b356e
c3a37,a5fdb
c52b9,b872c
c52b9,f2eec
cbd42,e8890
cbd42,d1113
d1113,fbb9b
d1113,fe015
d265c,fa278
d265c,ab7f9
d8fbb,ce42b
d8fbb,af5d8
da0a7,fa278
da0a7,fc6b7
ddb52,ce42b
ddb52,bcf8e
dddd2,e9c6f
dddd2,c52b9
df2ad,fc254
df2ad,ec50f
e392c,ec77a
e392c,cb048
e41a9,ba0ac
e41a9,fbb9b
e47a3,d0e58
e47a3,e41a9
e6dc5,efcee
e6dc5,fa278
e9ae8,ba0ac
e9ae8,f4277
ec50f,ba0ac
ec50f,d6a61
f1673,fa278
f1673,f5ff5
f419a,d23e6
f419a,d7455
f478b,ba0ac
f478b,ec77a
f5324,d6a61
f5324,d23e6
fde6c,f2eec
fde6c,efcee
feda2,f5ff5
feda2,e43d7
