Precursor,Metabolite
Cholesterol,17-hydroxypregnenolone
Cholesterol,Isoprogesterone
Cholesterol,"20R,22R-dihydroxycholesterol"
Cholesterol,Progesterone
Cholesterol,Pregnenediol b
Cholesterol,Pregnenetriol
Cholesterol,Dehydroepiandrosterone
Cholesterol,11-deoxycorticosterone
Cholesterol,20alpha-Hydroxyprogesterone
Cholesterol,"5alpha-pregnane-3,20-dione"
Cholesterol,17-hydroxyprogesterone
Cholesterol,Pregnenolone
Cholesterol,"5beta-pregnane-3,20-dione"
Cholesterol,21-deoxycortisol
Cholesterol,5beta-dihydrodeoxycorticosterone
Cholesterol,Corticosterone
Cholesterol,3a-OH-5b-Pregnane-20-one
Cholesterol,Androstenedione
Cholesterol,3alpha-hydroxy-5beta-pregnan-20-one
Cholesterol,11-Deoxycortisol
Cholesterol,Testosterone
Cholesterol,5alpha-Dihydrocorticosterone
Cholesterol,21-Deoxycortisone
Cholesterol,18-hydroxycorticosterone
Cholesterol,5beta-Dihydrocorticosterone
Cholesterol,Pregnanediol
Cholesterol,11-Dehydrocorticosterone
Cholesterol,Cortisol
Cholesterol,Pregnanediol-3-glucuronide
Cholesterol,"11β,18,21-trihydroxy-5β-pregnan-3,20-dione"
Cholesterol,Aldosterone
Cholesterol,Allotetrahydrocorticosterone
Cholesterol,"4-Pregnene-17alpha,20alpha-diol-3,11-dione"
Cholesterol,Tetrahydrocorticosterone
Cholesterol,"17alpha-hydroxy-5beta-Pregnane-3,11,20-trione"
Cholesterol,Dihydrotestosterone
Cholesterol,Oestradiol
Cholesterol,Glucuronides
Cholesterol,"3alpha,11beta,18,21-tetrahydroxy-5beta-pregnan-20-one"
Cholesterol,"5beta-Pregnane-17alpha,20alpha-diol-3,11-dione"
Cholesterol,"5beta-Pregnane-3alpha,17alpha-diol-11,20-dione"
Cholesterol,Cortolonic acid
Cholesterol,Pregnanetriolone
Cholesterol,18-Hydroxy-11-dehydrotetrahydrocorticosterone
Cholesterol,22R-Hydroxycholesterol
