Precursor,Metabolite
Cholesterol,17-hydroxypregnenolone
Cholesterol,Isoprogesterone
Cholesterol,"20R,22R-dihydroxycholesterol"
Cholesterol,Progesterone
Cholesterol,Pregnenediol b
Cholesterol,Pregnenetriol
Cholesterol,Dehydroepiandrosterone
Cholesterol,11-deoxycorticosterone
Cholesterol,20alpha-Hydroxyprogesterone
Cholesterol,"5alpha-pregnane-3,20-dione"
Cholesterol,17-hydroxyprogesterone
Cholesterol,Pregnenolone
Cholesterol,"5beta-pregnane-3,20-dione"
Cholesterol,21-deoxycortisol
Cholesterol,5beta-dihydrodeoxycorticosterone
Cholesterol,Corticosterone
Cholesterol,3a-OH-5b-Pregnane-20-one
Cholesterol,Androstenedione
Cholesterol,3alpha-hydroxy-5beta-pregnan-20-one
Cholesterol,11-Deoxycortisol
Cholesterol,Testosterone
Cholesterol,5alpha-Dihydrocorticosterone
Cholesterol,21-Deoxycortisone
Cholesterol,18-hydroxycorticosterone
Cholesterol,5beta-Dihydrocorticosterone
Cholesterol,Pregnanediol
Cholesterol,11-Dehydrocorticosterone
Cholesterol,Cortisol
Cholesterol,18-hydroxycortisol
Cholesterol,Pregnanediol-3-glucuronide
Cholesterol,"11β,18,21-trihydroxy-5β-pregnan-3,20-dione"
Cholesterol,Aldosterone
Cholesterol,20beta-hydroxycortisol
Cholesterol,Allotetrahydrocorticosterone
Cholesterol,"4-Pregnene-17alpha,20alpha-diol-3,11-dione"
Cholesterol,"11b,17a 21-Trihydroxy-5bPregnane 3,20-dione"
Cholesterol,Tetrahydrocorticosterone
Cholesterol,"17alpha-hydroxy-5beta-Pregnane-3,11,20-trione"
Cholesterol,5alpha-Dihydrocortisol
Cholesterol,Cortisone
Cholesterol,Dihydrotestosterone
Cholesterol,20alpha-Hydroxycortisol
Cholesterol,Oestradiol
Cholesterol,Glucuronides
Cholesterol,5beta-dihydrocortisol
Cholesterol,"4,5beta-Dihydrocortisone"
Cholesterol,18-oxocortisol
Cholesterol,"5beta-pregnane-11beta,17alpha,20beta,21-tetrol-3-one"
Cholesterol,20alpha-Dihydrocortisone
Cholesterol,"3alpha,11beta,18,21-tetrahydroxy-5beta-pregnan-20-one"
Cholesterol,5beta-Dihydroaldosterone
Cholesterol,"5beta-Pregnane-17alpha,20alpha-diol-3,11-dione"
Cholesterol,Tetrahydrocortisol
Cholesterol,20beta-Dihydrocortisone
Cholesterol,Aldosterone 18-glucuronide
Cholesterol,"11b, 21-Dihydroxy-3,20-5b-Pregnan-18-al"
Cholesterol,5alpha-Tetrahydrocortisol
Cholesterol,"5beta-Pregnane-3alpha,17alpha-diol-11,20-dione"
Cholesterol,Tetrahydroaldosterone
Cholesterol,Cortolic acid
Cholesterol,18-oxo-dihydrocortisol
Cholesterol,Tetrahydrocortisone
Cholesterol,"5beta-pregnane-17alpha,20beta,21-triol-3,11-dione"
Cholesterol,alpha-Cortol
Cholesterol,beta-cortolic acid
Cholesterol,Cortolonic acid
Cholesterol,"5beta-pregnane-17alpha,20alpha,21-triol-3,11-dione"
Cholesterol,Pregnanetriolone
Cholesterol,beta-cortol
Cholesterol,11beta-Hydroxyetiocholanolone
Cholesterol,"3a,11b,21-Trihydroxy-20-Oxo-5b-Pregnan-18-al"
Cholesterol,18-Hydroxy-11-dehydrotetrahydrocorticosterone
Cholesterol,beta-cortolonic acid
Cholesterol,18-oxo-tetrahydrocortisol
Cholesterol,alpha-cortolone
Cholesterol,beta-cortolone
Cholesterol,11-Ketoetiocholanolone
Cholesterol,22R-Hydroxycholesterol
