Hormone,_c1,Organ
Progestogen,childOf,Steroids
Secosteroid,childOf,Steroids
Catecholomines,childOf,Catecholomines
Mineralcorticoid,childOf,Steroids
Androgen,childOf,Steroids
Peptide,childOf,Polypeptides
Estrogen,childOf,Steroids
Glucocorticoid,childOf,Steroids
Cyst and pseudocyst,isEtiologyOf,Other benign mass
Primary aldosteronism,isEtiologyOf,Adrenocortical adenoma or macronodular bilateral adrenal hyperplasia
Hemorrhage,isEtiologyOf,Other benign mass
Myelolipoma,isEtiologyOf,Other benign mass
Overt Cushing’s syndrome,isEtiologyOf,Adrenocortical adenoma or macronodular bilateral adrenal hyperplasia
Ganglioneuroma,isEtiologyOf,Other benign mass
Nonfunctioning,isEtiologyOf,Adrenocortical adenoma or macronodular bilateral adrenal hyperplasia
Mild autonomous cortisol  secretion,isEtiologyOf,Adrenocortical adenoma or macronodular bilateral adrenal hyperplasia
Schwannoma,isEtiologyOf,Other benign mass
Addison's disease,mayCauseUnderProductionOf,20beta-hydroxycortisol
Addison's disease,mayCauseUnderProductionOf,beta-cortolone
Addison's disease,mayCauseUnderProductionOf,Oestradiol
Addison's disease,mayCauseUnderProductionOf,"3alpha,11beta,18,21-tetrahydroxy-5beta-pregnan-20-one"
Addison's disease,mayCauseUnderProductionOf,"5beta-pregnane-11beta,17alpha,20beta,21-tetrol-3-one"
Addison's disease,mayCauseUnderProductionOf,Pregnenolone
Addison's disease,mayCauseUnderProductionOf,Aldosterone
Addison's disease,mayCauseUnderProductionOf,5alpha-Tetrahydrocortisol
Addison's disease,mayCauseUnderProductionOf,11-deoxycorticosterone
Addison's disease,mayCauseUnderProductionOf,5beta-Dihydrocorticosterone
Addison's disease,mayCauseUnderProductionOf,Tetrahydrocortisone
Addison's disease,mayCauseUnderProductionOf,18-oxo-dihydrocortisol
Addison's disease,mayCauseUnderProductionOf,5alpha-Dihydrocorticosterone
Addison's disease,mayCauseUnderProductionOf,Pregnanetriolone
Addison's disease,mayCauseUnderProductionOf,20alpha-Hydroxycortisol
Addison's disease,mayCauseUnderProductionOf,"5alpha-pregnane-3,20-dione"
Addison's disease,mayCauseUnderProductionOf,18-oxo-tetrahydrocortisol
Addison's disease,mayCauseUnderProductionOf,11-Ketoetiocholanolone
Addison's disease,mayCauseUnderProductionOf,20beta-Dihydrocortisone
Addison's disease,mayCauseUnderProductionOf,22R-Hydroxycholesterol
Addison's disease,mayCauseUnderProductionOf,"11b, 21-Dihydroxy-3,20-5b-Pregnan-18-al"
Addison's disease,mayCauseUnderProductionOf,17-hydroxypregnenolone
Addison's disease,mayCauseUnderProductionOf,Cortolic acid
Addison's disease,mayCauseUnderProductionOf,17-hydroxyprogesterone
Addison's disease,mayCauseUnderProductionOf,Pregnenediol b
Addison's disease,mayCauseUnderProductionOf,Dihydrotestosterone
Addison's disease,mayCauseUnderProductionOf,Tetrahydroaldosterone
Addison's disease,mayCauseUnderProductionOf,3a-OH-5b-Pregnane-20-one
Addison's disease,mayCauseUnderProductionOf,"20R,22R-dihydroxycholesterol"
Addison's disease,mayCauseUnderProductionOf,18-oxocortisol
Addison's disease,mayCauseUnderProductionOf,11-Dehydrocorticosterone
Addison's disease,mayCauseUnderProductionOf,Cortisone
Addison's disease,mayCauseUnderProductionOf,Pregnanediol-3-glucuronide
Addison's disease,mayCauseUnderProductionOf,5alpha-Dihydrocortisol
