id,organ
52295885-9019-4f7b-ba00-214fb444acf9,Adrenal glands
bbb2a687-8c4c-4e9f-beaf-8b54cb35f483,Pituitary gland
dd35b9c6-4d9b-4148-8f29-591026694b63,Kidneys
d471bf37-c6e6-4319-92eb-b84abbb6d7c3,Pancreas
c8199881-3064-42cc-b1ed-c667d3dbe1cc,Ovaries
6e1e95d9-bf1f-4790-a918-3a67af33370f,Parathyroid glands
f544fc65-1582-4210-916c-97058b74941c,Thyroid gland
ba3ec188-6dc4-4b6e-8a8f-0773f257a348,Testes (testicles)
3d1768e6-5ce9-4007-8636-0ec0ac4c06c2,Hypothalamus
8ed2ba4f-0dd7-4995-a76f-e739e878c809,Pineal gland
c9d98fe1-8d87-45c3-a2e0-893c40e9f9ba,Thymus
