B001,Fayette County Bank,Saint Elmo
B002,Guaranty Bank,(d/b/a BestBank in Georgia & Michigan)
B004,Proficio Bank,Cottonwood Heights
B006,Harvest Community Bank,Pennsville
B008,The Woodbury Banking Company,Woodbury
B009,First CornerStone Bank,King of Prussia
B0011,North Milwaukee State Bank,Milwaukee
B0013,The Bank of Georgia,Peachtree City
B0017,Capitol City Bank & Trust Company,Atlanta
B0021,Frontier Bank,FSB D/B/A El Paseo Bank
B0022,The National Republic Bank of Chicago,Chicago
B0030,Columbia Savings Bank,Cincinnati
B0034,Millennium Bank,National Association
B0036,The Bank of Union,El Reno
B0041,The Community's Bank,Bridgeport
B0042,Sunrise Bank of Arizona,Phoenix
B0043,Community South Bank,Parsons
B0044,Bank of Wausau,Wausau
B0054,Chipola Community Bank,Marianna
B0065,Heritage Bank of Florida,Lutz
B0068,First East Side Savings Bank,Tamarac
B0069,GulfSouth Private Bank,Destin
B0075,Second Federal Savings and Loan Association of Chicago,Chicago
B0085,Waccamaw Bank,Whiteville
B0086,Farmers' and Traders' State Bank,Shabbona
B0096,Fort Lee Federal Savings Bank,FSB
B0098,Premier Bank,Wilmette
B00101,Global Commerce Bank,Doraville
B00102,Home Savings of America,Little Falls
B00103,Central Bank of Georgia,Ellaville
B00108,Tennessee Commerce Bank,Franklin
B00109,First Guaranty Bank and Trust Company of Jacksonville,Jacksonville
B00116,Polk County Bank,Johnston
B00120,All American Bank,Des Plaines
B00128,Piedmont Community Bank,Gray
B00130,The RiverBank,Wyoming
B00134,The First National Bank of Florida,Milton
B00142,Bank of Whitman,Colfax
B00145,BankMeridian,N.A.
B00146,Virginia Business Bank,Richmond
B00148,LandMark Bank of Florida,Sarasota
B00149,Southshore Community Bank,Apollo Beach
B00153,One Georgia Bank,Atlanta
B00156,First Chicago Bank & Trust,Chicago
B00159,McIntosh State Bank,Jackson
B00160,Atlantic Bank and Trust,Charleston
B00165,Coastal Bank,Cocoa Beach
B00170,First National Bank of Central Florida,Winter Park
B00174,Nexity Bank,Birmingham
B00181,First National Bank of Davis,Davis
B00183,San Luis Trust Bank,FSB
B00186,Habersham Bank,Clarkesville
B00188,Badger State Bank,Cassville
B00192,North Georgia Bank,Watkinsville
B00194,First Community Bank,Taos
B00203,Legacy Bank,Scottsdale
B00210,The Bank of Miami,N.A.
B00211,Earthstar Bank,Southampton
B00217,Darby Bank & Trust Co.,Vidalia
B00220,Pierce Commercial Bank,Tacoma
B00221,Western Commercial Bank,Woodland Hills
B00223,First Arizona Savings,A FSB
B00224,Hillcrest Bank,Overland Park
B00229,First Bank of Jacksonville,Jacksonville
B00238,Bramble Savings Bank,Milford
B00239,The Peoples Bank,Winder
B00240,First Commerce Community Bank,Douglasville
B00245,Los Padres Bank,Solvang
B00250,Independent National Bank,Ocala
B00254,LibertyBank,Eugene
B00262,Thunder Bank,Sylvan Grove
B00263,Williamsburg First National Bank,Kingstree
B00265,Sterling Bank,Lantana
B00277,First National Bank,Savannah
B00278,Peninsula Bank,Englewood
B00281,TierOne Bank,Lincoln
B00282,Arcola Homestead Savings Bank,Arcola
B00285,Granite Community Bank,NA
B00289,Pinehurst Bank,Saint Paul
B00290,Midwest Bank and Trust Company,Elmwood Park
B00296,Access Bank,Champlin
B00297,The Bank of Bonifay,Bonifay
B00301,CF Bancorp,Port Huron
B00306,Peotone Bank and Trust Company,Peotone
B00317,AmericanFirst Bank,Clermont
B00324,McIntosh Commercial Bank,Carrollton
B00325,State Bank of Aurora,Aurora
B00327,Bank of Hiawassee,Hiawassee
B00333,Old Southern Bank,Orlando
B00334,The Park Avenue Bank,New York
B00338,Bank of Illinois,Normal
B00344,The La Coste National Bank,La Coste
B00352,First National Bank of Georgia,Carrollton
B00357,Premier American Bank,Miami
B00358,Barnes Banking Company,Kaysville
B00359,St. Stephen State Bank,St. Stephen
B00363,Imperial Capital Bank,La Jolla
B00365,New South Federal Savings Bank,Irondale
B00366,Citizens State Bank,New Baltimore
B00371,Republic Federal Bank,N.A.
B00372,Greater Atlantic Bank,Reston
B00375,The Tattnall Bank,Reidsville
B00377,The Buckhead Community Bank,Atlanta
B00380,Orion Bank,Naples
B00381,Century Bank,F.S.B.
B00382,United Commercial Bank,San Francisco
B00388,Madisonville State Bank,Madisonville
B00389,Citizens National Bank,Teague
B00404,Southern Colorado National Bank,Pueblo
B00405,Jennings State Bank,Spring Grove
B00408,Irwin Union Bank,F.S.B.
B00415,Vantus Bank,Sioux City
B00431,Community National Bank of Sarasota County,Venice
B00436,Integrity Bank,Jupiter
B00438,Security Bank of Jones County,Gray
B00452,First National Bank of Danville,Danville
