Fact,ProvenanceLeft,ProvenanceRight,Rule
partOf(1|gpcr),"receptor(gpcr|1|5-Hydroxytryptamine receptors|1|5-HT1A receptor|||||ADRBRL1|5-HT1A|ADRB2RL1|serotonin receptor 1A|Gpcr18|5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled|5286|HTR1A|5-hydroxytryptamine receptor 1A|5q12.3|NM_000524|NP_000515|P08908|3350|ENSG00000178394)","","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(2|gpcr),"receptor(gpcr|2|Acetylcholine receptors (muscarinic)|13|M1 receptor|||||M1 muscarinic acetylcholine receptor|Chrm-1|M1R|cholinergic receptor, muscarinic 1|cholinergic receptor|cholinergic receptor, muscarinic 1, CNS|1950|CHRM1|cholinergic receptor muscarinic 1|11q12.3|NM_000738|NP_000729|P11229|1128|ENSG00000168539)","","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(3|gpcr),receptor(gpcr|3|Adenosine receptors|18|A1 receptor|||||RDC7|adenosine receptor A1|A1-AR|A1R|262|ADORA1|adenosine A1 receptor|1q32.1|NM_000674|NP_000665|P30542|134|ENSG00000163485),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(4|gpcr),"receptor(gpcr|4|Adrenoceptors|22|&alpha;1A-adrenoceptor|||||&alpha;1c|&alpha;1a|ADRA1C|ADRA1L1|adrenergic alpha 1c receptor|adrenergic receptor alpha 1c|alpha 1A-adrenoceptor|alpha 1A-adrenoreceptor|alpha 1C-adrenergic receptor|alpha-1A adrenergic receptor|adrenergic receptor, alpha 1a|277|ADRA1A|adrenoceptor alpha 1A|8p21.2|NM_000680|NP_000671|P35348|148|ENSG00000120907)","","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(5|gpcr),receptor(gpcr|5|Complement peptide receptors|31|C3a receptor|||||C3AR|C3a anaphylatoxin chemotactic receptor|C3a-R|anaphylatoxin C3a receptor|complement component 3a receptor 1|1319|C3AR1|complement C3a receptor 1|12p13.31|NM_004054|NP_004045|Q16581|719|ENSG00000171860),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(6|gpcr),"receptor(gpcr|6|Angiotensin receptors|34|AT1 receptor|||||AG2S|AT2R1|AT2R1A|HAT1R|Agtr1|angiotensin II type-1 receptor|angiotensin II type-1A receptor|angiotensin II type-1B receptor|AT3|type-1A angiotensin II receptor|type-1B angiotensin II receptor|vascular type-1 angiotensin II receptor|Agtr-1b|Angtr-1b|Angtr-1a|AT1AR|AT1BR|Type-1 angiotensin II receptor|Agtr-1a|angiotensin II receptor, type 1|angiotensin II receptor, type 1a|angiotensin II receptor, type 1b|angiotensin II receptor|336|AGTR1|angiotensin II receptor type 1|3q24|NM_000685|NP_000676|P30556|185|ENSG00000144891)","","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(7|gpcr),receptor(gpcr|7|Apelin receptor|36|apelin receptor|||||angiotensin receptor-like 1|AGTRL1|APJ|APJR|angiotensin II receptor-like 1|B78|GPCR34|G-protein coupled receptor APJ|msr/apj|339|APLNR|apelin receptor|11q12.1|NM_005161|NP_005152|P35414|187|ENSG00000134817),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(8|gpcr),receptor(gpcr|8|Bile acid receptor|37|GPBA receptor|||||BG37|hGPCR19|M-BAR|TGR5|GPCR19|GPR131|GPBAR1|G protein-coupled bile acid receptor 1|membrane-type receptor for bile acids|19680|GPBAR1|G protein-coupled bile acid receptor 1|2q35|NM_170699|NP_001070662|Q8TDU6|151306|ENSG00000179921),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(9|gpcr),receptor(gpcr|9|Bombesin receptors|38|BB1 receptor|||||NMB-R|BB1|neuromedin B receptor|neuromedin-B-preferring bombesin receptor|7843|NMBR|neuromedin B receptor|6q24.1|NM_002511|NP_002502|P28336|4829|ENSG00000135577),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(10|gpcr),"receptor(gpcr|10|Bradykinin receptors|41|B1 receptor|||||B1BKR|BKR1|B1R|kinin B1 receptor|bradykinin receptor|bradykinin receptor, B1|1029|BDKRB1|bradykinin receptor B1|14q32.2|NM_000710|NP_000701|P46663|623|ENSG00000100739)","","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(11|gpcr),receptor(gpcr|11|Calcitonin receptors|43|CT receptor|||||CTRI1-|CTR2|CT-R|C1A/C1B|calcitonin receptor|CTR|1440|CALCR|calcitonin receptor|7q21.3|NM_001742|NP_001733|NP_001158209|P30988|799|ENSG00000004948),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(12|gpcr),receptor(gpcr|12|Calcium-sensing receptor|54|CaS receptor|||||CaR|GPRC2A|extracellular calcium-sensing receptor|divalent cation-sensing receptor|calcium-sensing receptor|1514|CASR|calcium sensing receptor|3q13.33-q21.1|NM_000388|NP_000379|P41180|846|ENSG00000036828),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(13|gpcr),receptor(gpcr|13|Cannabinoid receptors|56|CB1 receptor|||||Central cannabinoid receptor|Neuronal cannabinoid receptor|THC receptor|CB-R|Cann6|SKR6R|CB1R|Cann7|2159|CNR1|cannabinoid receptor 1|6q15|NM_016083|NP_057167|P21554|1268|ENSG00000118432),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(14|gpcr),receptor(gpcr|14|Chemokine receptors|58|CCR1|||||CC CKR1|CKR1|MIP-1&alpha;/RANTES|MIP-1&alpha;R|CD191|CMKBR1|MIP1aR|macrophage inflammatory protein-1 alpha receptor|1602|CCR1|C-C motif chemokine receptor 1|3p21.31|NM_001295|NP_001286|P32246|1230|ENSG00000163823),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(15|gpcr),receptor(gpcr|15|Cholecystokinin receptors|76|CCK1 receptor|||||CCK1-R|cholecystokinin receptor type A|cholecystokinin-1 receptor|1570|CCKAR|cholecystokinin A receptor|4p15.2|NM_000730|NP_000721|P32238|886|ENSG00000163394),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(17|gpcr),receptor(gpcr|17|Adhesion Class GPCRs|197|ADGRA1|||||GPR123 (G protein-coupled receptor 123)|13838|ADGRA1|adhesion G protein-coupled receptor A1|10q26.3|NM_001083909|NP_001077378|Q86SQ6|84435|ENSG00000197177),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(18|gpcr),receptor(gpcr|18|Class C Orphans|209|GPR156|||||GABABL|GABAB-related G-protein coupled receptor|PGR28|20844|GPR156|G protein-coupled receptor 156|3q13.33|NM_153002|NP_694547|Q8NFN8|165829|ENSG00000175697),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(19|gpcr),receptor(gpcr|19|Corticotropin-releasing factor receptors|212|CRF1 receptor|||||CRFR1|CRF-R|CRHR|CRH-R1|CRF-R1alpha|CRF 1 receptor|CRF-RA|2357|CRHR1|corticotropin releasing hormone receptor 1|17q21.31|NM_004382|NP_004373|P34998|1394|ENSG00000120088),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(20|gpcr),receptor(gpcr|20|Dopamine receptors|214|D1 receptor|||||D1A|DADR|Gpcr15|dopamine D1 receptor|Dopamine-1A receptor|D1 receptor|3020|DRD1|dopamine receptor D1|5q35.2|NM_000794|NP_000785|P21728|1812|ENSG00000184845),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(21|gpcr),receptor(gpcr|21|Endothelin receptors|219|ETA receptor|||||ENDOR|endothelin A receptor|endothelin-1 receptor|ET-AR|Gpcr10|3179|EDNRA|endothelin receptor type A|4q31.22-q31.23|NM_001957|NP_001948|P25101|1909|ENSG00000151617),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(22|gpcr),receptor(gpcr|22|G protein-coupled estrogen receptor|221|GPER|||||CEPR|CMKRL2|DRY12|FEG-1|Gpr41|LERGU|LERGU2|chemokine receptor-like 2|Flow-induced endothelial G-protein coupled receptor 1|GPGR|LYGPR|Lymphocyte-derived G-protein coupled receptor|Membrane estrogen receptor|mER|GPCR-BR|GPR30|IL8-related receptor DRY12|4485|GPER1|G protein-coupled estrogen receptor 1|7p22.3|NM_001505|NP_001496|Q99527|2852|ENSG00000164850),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(23|gpcr),receptor(gpcr|23|Formylpeptide receptors|222|FPR1|||||NFPR|FPR|formyl peptide receptor 1|fMLF-R|3826|FPR1|formyl peptide receptor 1|19q13.41|NM_002029|NP_002020|P21462|2357|ENSG00000171051),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(24|gpcr),receptor(gpcr|24|Free fatty acid receptors|225|FFA1 receptor|||||GPR40|FFA1R|G protein-coupled receptor 40|4498|FFAR1|free fatty acid receptor 1|19q13.12|NM_005303|NP_005294|O14842|2864|ENSG00000126266),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
partOf(25|gpcr),receptor(gpcr|25|Class Frizzled GPCRs|229|FZD1|||||Fz1|Wnt receptor|Drosophila polarity gene homolog 1|frizzled family receptor 1|frizzled homolog 1|Drosophila polarity gene (frizzled) homologue|Frizzled-1|4038|FZD1|frizzled class receptor 1|7q21.13|NM_003505|NP_003496|Q9UP38|8321|ENSG00000157240),"","partOf(FamilyId,TypeId) :- receptor(TypeId,FamilyId,_1_2,_1_3,_1_4,_1_5,_1_6,_1_7,_1_8,_1_9,_1_10,_1_11,_1_12,_1_13,_1_14,_1_15,_1_16,_1_17,_1_18)."
