Type,Family id,Family name,Target id,Target name,Subunit id,Subunit name,Target systematic name,Target abbreviated name,synonyms,HGNC id,HGNC symbol,HGNC name,Human genetic localisation,Human nucleotide RefSeq,Human protein RefSeq,Human SwissProt,Human Entrez Gene,Human Ensembl Gene
gpcr,1,5-Hydroxytryptamine receptors,1,5-HT1A receptor,"","","","","ADRBRL1|5-HT1A|ADRB2RL1|serotonin receptor 1A|Gpcr18|5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled",5286,HTR1A,5-hydroxytryptamine receptor 1A,5q12.3,NM_000524,NP_000515,P08908,3350,ENSG00000178394
gpcr,1,5-Hydroxytryptamine receptors,2,5-HT1B receptor,"","","","","5-HT1B|5-HT1DB|HTR1D2|5-HT1B serotonin receptor|serotonin receptor 1B|5-HT1D&beta;|5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled",5287,HTR1B,5-hydroxytryptamine receptor 1B,6q14.1,NM_000863,NP_000854,P28222,3351,ENSG00000135312
gpcr,1,5-Hydroxytryptamine receptors,3,5-HT1D receptor,"","","","","5-HT1D&alpha;|HTRL|5-HT1D|HT1DA|serotonin receptor 1D|Gpcr14|Htr1db|5-hydroxytryptamine (serotonin) receptor 1D, G protein-coupled",5289,HTR1D,5-hydroxytryptamine receptor 1D,1p36.12,NM_000864,NP_000855,P28221,3352,ENSG00000179546
gpcr,1,5-Hydroxytryptamine receptors,4,5-ht1e receptor,"","","","","5-HT1E&alpha;|5-HT1E|5-hydroxytryptamine (serotonin) receptor 1E, G protein-coupled",5291,HTR1E,5-hydroxytryptamine receptor 1E,6q14.3,NM_000865,NP_000856,P28566,3354,ENSG00000168830
gpcr,1,5-Hydroxytryptamine receptors,5,5-HT1F receptor,"","","","","5-HT1E&beta;|5-HT6|5-HT1F|HTR1EL|serotonin receptor 1F|5-hydroxytryptamine (serotonin) receptor 1F, G protein-coupled",5292,HTR1F,5-hydroxytryptamine receptor 1F,3p12,NM_000866,NP_000857,P30939,3355,ENSG00000179097
gpcr,1,5-Hydroxytryptamine receptors,6,5-HT2A receptor,"","","","","'D' receptor|5Ht-2|serotonin 5HT-2 receptor|serotonin receptor 2A|5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled",5293,HTR2A,5-hydroxytryptamine receptor 2A,13q14.2,NM_000621,NP_000612,P28223,3356,ENSG00000102468
gpcr,1,5-Hydroxytryptamine receptors,7,5-HT2B receptor,"","","","","5-HT2F|5-HT2B|serotonin receptor 2B|stomach fundus serotonin receptor|5-hydroxytryptamine (serotonin) receptor 2B, G protein-coupled",5294,HTR2B,5-hydroxytryptamine receptor 2B,2q37.1,NM_000867,NP_000858,P41595,3357,ENSG00000135914
gpcr,1,5-Hydroxytryptamine receptors,8,5-HT2C receptor,"","","","","5-HT1C|5-HT2C|HTR1C|5-HTR2C|5-hydroxytryptamine receptor 1C|serotonin 1c receptor|serotonin receptor 2C|5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",5295,HTR2C,5-hydroxytryptamine receptor 2C,Xq23,NM_000868,NP_000859,P28335,3358,ENSG00000147246
gpcr,1,5-Hydroxytryptamine receptors,9,5-HT4 receptor,"","","","","5-HT4|serotonin receptor 4|5-hydroxytryptamine (serotonin) receptor 4, G protein-coupled",5299,HTR4,5-hydroxytryptamine receptor 4,5q32,NM_000870,NP_000861,Q13639,3360,ENSG00000164270
gpcr,1,5-Hydroxytryptamine receptors,10,5-HT5A receptor,"","","","","5-HT5&alpha;|5HT5-|5-HT-5A|MR22|serotonin receptor 5A|Htr5|5-hydroxytryptamine (serotonin) receptor 5A, G protein-coupled",5300,HTR5A,5-hydroxytryptamine receptor 5A,7q36.2,NM_024012,NP_076917,P47898,3361,ENSG00000157219
gpcr,1,5-Hydroxytryptamine receptors,648,5-ht5b receptor,"","","","","GPR134|HTR5B|G protein-coupled receptor 134|5Ht5b|MR22|serotonin receptor 5B|5-hydroxytryptamine (serotonin) receptor 5B, pseudogene",16291,HTR5BP,"5-hydroxytryptamine receptor 5B, pseudogene",2q14.1,NG_008325,"","",645694,ENSG00000125631
gpcr,1,5-Hydroxytryptamine receptors,11,5-HT6 receptor,"","","","","5-HT6|serotonin receptor 6|ST-B17|5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled",5301,HTR6,5-hydroxytryptamine receptor 6,1p36.13,NM_000871,NP_000862,P50406,3362,ENSG00000158748
